Path,Sample Name,Tissue Category,Cell ID,Total Cells,Tissue Category Area (pixels),Cell Density (per megapixel),Cell X Position,Cell Y Position,"Nucleus DAPI Mean (Normalized Counts, Total Weighting)","Nucleus MYC (Opal 520) Mean (Normalized Counts, Total Weighting)","Nucleus CD20 (Opal 540) Mean (Normalized Counts, Total Weighting)","Nucleus CD163 (Opal 570) Mean (Normalized Counts, Total Weighting)","Nucleus BCL6 (Opal 620) Mean (Normalized Counts, Total Weighting)","Nucleus STING (Opal 650) Mean (Normalized Counts, Total Weighting)","Nucleus BCL2 (Opal 690) Mean (Normalized Counts, Total Weighting)","Nucleus Autofluorescence Mean (Normalized Counts, Total Weighting)","Cytoplasm DAPI Mean (Normalized Counts, Total Weighting)","Cytoplasm MYC (Opal 520) Mean (Normalized Counts, Total Weighting)","Cytoplasm CD20 (Opal 540) Mean (Normalized Counts, Total Weighting)","Cytoplasm CD163 (Opal 570) Mean (Normalized Counts, Total Weighting)","Cytoplasm BCL6 (Opal 620) Mean (Normalized Counts, Total Weighting)","Cytoplasm STING (Opal 650) Mean (Normalized Counts, Total Weighting)","Cytoplasm BCL2 (Opal 690) Mean (Normalized Counts, Total Weighting)","Cytoplasm Autofluorescence Mean (Normalized Counts, Total Weighting)","Membrane DAPI Mean (Normalized Counts, Total Weighting)","Membrane MYC (Opal 520) Mean (Normalized Counts, Total Weighting)","Membrane CD20 (Opal 540) Mean (Normalized Counts, Total Weighting)","Membrane CD163 (Opal 570) Mean (Normalized Counts, Total Weighting)","Membrane BCL6 (Opal 620) Mean (Normalized Counts, Total Weighting)","Membrane STING (Opal 650) Mean (Normalized Counts, Total Weighting)","Membrane BCL2 (Opal 690) Mean (Normalized Counts, Total Weighting)","Membrane Autofluorescence Mean (Normalized Counts, Total Weighting)","Entire Cell DAPI Mean (Normalized Counts, Total Weighting)","Entire Cell MYC (Opal 520) Mean (Normalized Counts, Total Weighting)","Entire Cell CD20 (Opal 540) Mean (Normalized Counts, Total Weighting)","Entire Cell CD163 (Opal 570) Mean (Normalized Counts, Total Weighting)","Entire Cell BCL6 (Opal 620) Mean (Normalized Counts, Total Weighting)","Entire Cell STING (Opal 650) Mean (Normalized Counts, Total Weighting)","Entire Cell BCL2 (Opal 690) Mean (Normalized Counts, Total Weighting)","Entire Cell Autofluorescence Mean (Normalized Counts, Total Weighting)"
D:\CD20_CD163_MYC_STING_BCL2_BCL6\20200404 SGH MDA TW TMA& Control\TW TMA1\HPF\Raw,"ADJ_STING__TW TMA1_HP_IM3_0_Core[1,2,1,1]_[41169.5,6495].im3",ROI,1172,,,,869,1815,49.388,3.335,4.091,12.891,19.916,7.043,6.388,11.763,15.016,4.914,2.551,17.349,28.476,6.944,6.69,11.932,10.065,3.675,2.917,16.709,27.518,6.761,6.657,13.592,34.02,3.677,3.549,14.566,23.199,6.957,6.504,12.245
D:\CD20_CD163_MYC_STING_BCL2_BCL6\20200404 SGH MDA TW TMA& Control\TW TMA1\HPF\Raw,"ADJ_STING__TW TMA1_HP_IM3_0_Core[1,2,1,1]_[41169.5,6495].im3",ROI,1173,,,,1273,1814,17.923,1.585,1.882,8.682,36.144,4.922,2.834,16.561,6.377,1.564,1.752,11.005,29.771,4.021,3.317,14.911,2.118,1.599,2.513,10.656,23.845,4.075,3.307,12.741,12.375,1.584,1.991,9.542,32.323,4.571,3.026,15.437
D:\CD20_CD163_MYC_STING_BCL2_BCL6\20200404 SGH MDA TW TMA& Control\TW TMA1\HPF\Raw,"ADJ_STING__TW TMA1_HP_IM3_0_Core[1,2,1,1]_[41169.5,6495].im3",ROI,1174,,,,1007,1816,27.059,3.437,0.056,17.657,98.978,16.79,5.87,32.102,11.932,3.369,0.019,12.618,59.183,13.427,4.022,22.079,5.166,3.369,0.171,12.625,50.02,13.179,3.884,18.978,19.859,3.412,0.076,15.766,81.974,15.472,5.145,27.641
D:\CD20_CD163_MYC_STING_BCL2_BCL6\20200404 SGH MDA TW TMA& Control\TW TMA1\HPF\Raw,"ADJ_STING__TW TMA1_HP_IM3_0_Core[1,2,1,1]_[41169.5,6495].im3",ROI,1175,,,,1764,1816,34.693,3.482,4.488,16.992,44.056,6.846,5.26,19.123,11.193,2.629,7.476,14.324,24.015,5.804,4.427,15.842,3.64,2.212,7.33,14.862,17.108,5.538,4.298,13.755,22.482,3.002,5.76,15.959,33.524,6.322,4.862,17.157
D:\CD20_CD163_MYC_STING_BCL2_BCL6\20200404 SGH MDA TW TMA& Control\TW TMA1\HPF\Raw,"ADJ_STING__TW TMA1_HP_IM3_0_Core[1,2,1,1]_[41169.5,6495].im3",ROI,1176,,,,823,1819,10.205,3.308,1.546,21.328,62.195,11.554,12.636,22.891,3.978,2.367,3.155,14.854,31.844,7.957,8.883,14.718,2.303,2.035,5.307,13.2,21.696,6.588,7.481,13.05,6.581,2.738,2.964,17.585,43.975,9.348,10.342,18.283
D:\CD20_CD163_MYC_STING_BCL2_BCL6\20200404 SGH MDA TW TMA& Control\TW TMA1\HPF\Raw,"ADJ_STING__TW TMA1_HP_IM3_0_Core[1,2,1,1]_[41169.5,6495].im3",ROI,1177,,,,1713,1820,7.278,5.065,0.074,18.334,39.887,16.772,2.061,26.003,3.263,4.703,0.108,13.442,24.659,16.803,2.073,21.697,2.05,4.751,0.022,13.402,26.694,16.243,1.702,20.764,5.131,4.915,0.066,16.112,33.564,16.633,1.965,23.801
D:\CD20_CD163_MYC_STING_BCL2_BCL6\20200404 SGH MDA TW TMA& Control\TW TMA1\HPF\Raw,"ADJ_STING__TW TMA1_HP_IM3_0_Core[1,2,1,1]_[41169.5,6495].im3",ROI,1178,,,,1305,1819,30.317,2.815,3.189,13.879,63.006,5.92,4.207,24.663,12.421,2.311,2.426,11.51,41.885,5.467,3.535,19.956,5.178,1.966,2.398,11.336,29.458,4.904,3.708,20.541,21.488,2.536,2.873,12.878,51.755,5.615,3.971,22.875
D:\CD20_CD163_MYC_STING_BCL2_BCL6\20200404 SGH MDA TW TMA& Control\TW TMA1\HPF\Raw,"ADJ_STING__TW TMA1_HP_IM3_0_Core[1,2,1,1]_[41169.5,6495].im3",ROI,1179,,,,1544,1819,14.367,2.196,3.391,12.817,8.392,4,3.329,11.007,4.49,2.104,8.38,10.047,11.085,3.938,3.26,11.397,1.611,2.406,10.433,12.546,10.236,4.049,3.681,11.767,9.477,2.218,5.984,12.121,9.391,3.996,3.385,11.252
D:\CD20_CD163_MYC_STING_BCL2_BCL6\20200404 SGH MDA TW TMA& Control\TW TMA1\HPF\Raw,"ADJ_STING__TW TMA1_HP_IM3_0_Core[1,2,1,1]_[41169.5,6495].im3",ROI,1180,,,,2371,1819,14.278,1.902,4.022,11.52,15.045,3.903,2.668,11.373,3.953,1.538,6.314,11.484,9.153,3.138,2.249,8.466,1.912,1.359,7.841,11.18,8.523,3.065,2.199,8.329,8.773,1.681,5.511,11.427,12.036,3.515,2.453,9.932
D:\CD20_CD163_MYC_STING_BCL2_BCL6\20200404 SGH MDA TW TMA& Control\TW TMA1\HPF\Raw,"ADJ_STING__TW TMA1_HP_IM3_0_Core[1,2,1,1]_[41169.5,6495].im3",ROI,1181,,,,2410,1819,31.691,1.573,18.993,22.306,57.861,6.064,5.132,27.101,11.322,0.862,28.871,19.868,28.384,5.898,4.344,22.097,3.955,0.783,35.051,16.107,15.263,5.298,3.154,16.169,21.354,1.259,24.696,20.307,42.25,5.837,4.493,23.471
D:\CD20_CD163_MYC_STING_BCL2_BCL6\20200404 SGH MDA TW TMA& Control\TW TMA1\HPF\Raw,"ADJ_STING__TW TMA1_HP_IM3_0_Core[1,2,1,1]_[41169.5,6495].im3",ROI,1182,,,,1334,1822,42.379,1.951,3.261,9.575,21.949,4.821,3.249,13.064,13.965,1.874,2.645,8.63,19.296,3.676,3.112,12.674,5.681,1.627,2.703,8.998,16.703,3.37,2.93,14.863,28.966,1.866,3.022,9.268,20.304,4.287,3.154,13.377
D:\CD20_CD163_MYC_STING_BCL2_BCL6\20200404 SGH MDA TW TMA& Control\TW TMA1\HPF\Raw,"ADJ_STING__TW TMA1_HP_IM3_0_Core[1,2,1,1]_[41169.5,6495].im3",ROI,1183,,,,1633,1822,8.741,2.932,2.369,11.06,18.771,4.631,3.689,13.918,2.383,2.133,2.458,11.317,11.798,4.424,3.117,12.165,1.438,1.832,2.286,12.427,10.541,4.219,3.068,11.436,5.479,2.475,2.367,11.467,15.137,4.48,3.405,12.898
D:\CD20_CD163_MYC_STING_BCL2_BCL6\20200404 SGH MDA TW TMA& Control\TW TMA1\HPF\Raw,"ADJ_STING__TW TMA1_HP_IM3_0_Core[1,2,1,1]_[41169.5,6495].im3",ROI,1184,,,,1092,1823,17.456,2.853,0.025,13.129,94.366,13.158,2.852,26.933,2.893,2.534,0.031,9.538,46.267,12.913,1.447,20.06,1.211,2.337,0.09,9.34,40.865,12.478,1.378,17.913,11.036,2.676,0.041,11.596,73.197,12.956,2.254,23.591
D:\CD20_CD163_MYC_STING_BCL2_BCL6\20200404 SGH MDA TW TMA& Control\TW TMA1\HPF\Raw,"ADJ_STING__TW TMA1_HP_IM3_0_Core[1,2,1,1]_[41169.5,6495].im3",ROI,1185,,,,1158,1824,25.428,2.057,3.083,8.545,16.5,5.962,3.812,11.989,6.815,2.578,1.889,11.258,17.555,7.187,2.941,13.714,2.82,2.666,1.764,10.829,18.253,7.974,2.744,12.825,16.439,2.303,2.537,9.619,17.119,6.676,3.389,12.528
D:\CD20_CD163_MYC_STING_BCL2_BCL6\20200404 SGH MDA TW TMA& Control\TW TMA1\HPF\Raw,"ADJ_STING__TW TMA1_HP_IM3_0_Core[1,2,1,1]_[41169.5,6495].im3",ROI,1186,,,,1588,1823,29.745,2.587,4.775,25.07,36.49,11.948,5.493,21.804,8.816,2.902,7.489,24.308,27.81,9.683,4.353,19.216,1.765,2.999,6.966,23.175,27.334,7.393,3.88,15.441,19.458,2.74,5.79,24.501,32.768,10.495,4.913,19.887
D:\CD20_CD163_MYC_STING_BCL2_BCL6\20200404 SGH MDA TW TMA& Control\TW TMA1\HPF\Raw,"ADJ_STING__TW TMA1_HP_IM3_0_Core[1,2,1,1]_[41169.5,6495].im3",ROI,1187,,,,2032,1824,14.934,1.102,2.412,17.992,25.076,6.597,3.903,14.513,3.683,1.132,1.6,13.289,7.149,4.391,2.464,8.339,2.532,0.928,1.24,10.762,4.838,4.013,2.037,7.371,9.859,1.068,1.983,15.405,16.881,5.567,3.19,11.652
D:\CD20_CD163_MYC_STING_BCL2_BCL6\20200404 SGH MDA TW TMA& Control\TW TMA1\HPF\Raw,"ADJ_STING__TW TMA1_HP_IM3_0_Core[1,2,1,1]_[41169.5,6495].im3",ROI,1188,,,,2352,1826,26.076,2.415,0.462,13.669,35.408,9.513,2.478,15.495,6.943,1.444,0.588,12.168,12.897,6.213,2.098,11.436,1.977,1.3,0.882,11.538,9.192,4.881,1.924,9.453,16.075,1.934,0.591,12.826,24.164,7.672,2.261,13.146
D:\CD20_CD163_MYC_STING_BCL2_BCL6\20200404 SGH MDA TW TMA& Control\TW TMA1\HPF\Raw,"ADJ_STING__TW TMA1_HP_IM3_0_Core[1,2,1,1]_[41169.5,6495].im3",ROI,1189,,,,835,1826,34.804,3.986,3.784,21.234,74.06,10.843,10.065,26.68,6.977,2.893,7.186,15.611,32.859,7.577,7.71,16.845,1.816,2.405,5.024,15.451,22.199,6.393,7.053,13.728,21.665,3.398,4.684,18.802,53.842,9.155,8.897,21.709
D:\CD20_CD163_MYC_STING_BCL2_BCL6\20200404 SGH MDA TW TMA& Control\TW TMA1\HPF\Raw,"ADJ_STING__TW TMA1_HP_IM3_0_Core[1,2,1,1]_[41169.5,6495].im3",ROI,1190,,,,1383,1826,19.722,1.605,7.213,10.916,31.067,4.617,2.964,16.952,10.117,1.762,5.398,13.248,22.524,4.219,2.747,16.138,9.625,2.116,7.05,13.551,19.85,4.64,2.872,12.592,15.686,1.747,6.89,11.842,26.92,4.562,2.898,15.756
D:\CD20_CD163_MYC_STING_BCL2_BCL6\20200404 SGH MDA TW TMA& Control\TW TMA1\HPF\Raw,"ADJ_STING__TW TMA1_HP_IM3_0_Core[1,2,1,1]_[41169.5,6495].im3",ROI,1191,,,,1936,1827,46.11,1.571,1.925,10.701,39.047,5.531,4.241,14.124,16.063,1.727,1.835,13.22,17.576,4.806,4.157,12.195,6.756,1.695,1.879,10.783,9.735,3.915,3.201,8.99,29.644,1.636,1.893,11.277,26.983,4.967,3.963,12.415
D:\CD20_CD163_MYC_STING_BCL2_BCL6\20200404 SGH MDA TW TMA& Control\TW TMA1\HPF\Raw,"ADJ_STING__TW TMA1_HP_IM3_0_Core[1,2,1,1]_[41169.5,6495].im3",ROI,1192,,,,1954,1826,28.639,2.602,2.997,14.139,21.876,5.659,3.064,11.556,11.376,2.594,3.875,12.581,15.433,5.13,3.255,11.497,3.219,2.257,3.104,11.978,14.274,4.654,3.176,10.325,20.021,2.526,3.181,13.39,19.063,5.346,3.123,11.281
D:\CD20_CD163_MYC_STING_BCL2_BCL6\20200404 SGH MDA TW TMA& Control\TW TMA1\HPF\Raw,"ADJ_STING__TW TMA1_HP_IM3_0_Core[1,2,1,1]_[41169.5,6495].im3",ROI,1193,,,,2012,1827,14.175,1.331,1.921,23.746,38.445,6.548,2.959,17.146,5.169,1.4,1.618,16.258,10.805,4.388,2.645,9.361,2.284,1.419,1.594,14.655,7.74,4.109,2.605,8.554,9.609,1.365,1.784,20.131,25.755,5.547,2.813,13.585
D:\CD20_CD163_MYC_STING_BCL2_BCL6\20200404 SGH MDA TW TMA& Control\TW TMA1\HPF\Raw,"ADJ_STING__TW TMA1_HP_IM3_0_Core[1,2,1,1]_[41169.5,6495].im3",ROI,1194,,,,2211,1831,21.024,2.886,2.709,14.225,22.056,6.686,5.42,12.987,5.822,1.954,1.914,12.806,16.481,5.681,3.701,10.509,3.068,1.771,1.891,13.182,13.507,5.296,3.096,9.542,13.515,2.422,2.346,13.678,18.823,6.14,4.499,11.636
D:\CD20_CD163_MYC_STING_BCL2_BCL6\20200404 SGH MDA TW TMA& Control\TW TMA1\HPF\Raw,"ADJ_STING__TW TMA1_HP_IM3_0_Core[1,2,1,1]_[41169.5,6495].im3",ROI,1195,,,,945,1830,10.907,0.964,0,82.51,49.654,28.494,1.385,36.356,3.559,1.188,0.085,69.759,27.931,20.12,2.124,26.336,1.349,1.312,0.149,63.138,19.912,17.143,2.199,22.178,7.121,1.093,0.053,75.285,38.113,24.072,1.731,30.924
D:\CD20_CD163_MYC_STING_BCL2_BCL6\20200404 SGH MDA TW TMA& Control\TW TMA1\HPF\Raw,"ADJ_STING__TW TMA1_HP_IM3_0_Core[1,2,1,1]_[41169.5,6495].im3",ROI,1196,,,,1120,1830,9.574,3.774,0.121,11.246,75.161,10.68,1.77,26.079,5.441,3.563,0.285,11.117,56.69,11.672,1.829,22.748,3.599,3.634,0.244,14.32,57.697,12.394,1.709,24.545,7.561,3.711,0.174,11.966,68.386,11.23,1.764,25.245
D:\CD20_CD163_MYC_STING_BCL2_BCL6\20200404 SGH MDA TW TMA& Control\TW TMA1\HPF\Raw,"ADJ_STING__TW TMA1_HP_IM3_0_Core[1,2,1,1]_[41169.5,6495].im3",ROI,1197,,,,1239,1832,14.471,2.116,2.115,8.068,29.165,4.429,4.206,13.255,4.785,1.849,2.802,8.282,25.258,3.934,4.452,13.522,2.764,1.639,3.006,8.192,22.198,3.713,4.313,12.54,10.051,1.961,2.442,8.136,26.893,4.177,4.277,13.15
D:\CD20_CD163_MYC_STING_BCL2_BCL6\20200404 SGH MDA TW TMA& Control\TW TMA1\HPF\Raw,"ADJ_STING__TW TMA1_HP_IM3_0_Core[1,2,1,1]_[41169.5,6495].im3",ROI,1198,,,,1374,1831,30.459,1.129,8.092,9.998,36.984,7.209,3.001,24.336,12.099,0.974,7.737,12.03,26.798,7.016,3.241,30.727,10.07,1.642,10.364,11.172,23.743,6.354,3.518,20.724,23.185,1.233,8.596,10.541,32.482,6.977,3.157,24.276
D:\CD20_CD163_MYC_STING_BCL2_BCL6\20200404 SGH MDA TW TMA& Control\TW TMA1\HPF\Raw,"ADJ_STING__TW TMA1_HP_IM3_0_Core[1,2,1,1]_[41169.5,6495].im3",ROI,1199,,,,1410,1832,48.143,2.061,4.184,8.849,11.928,3.994,4.793,12.239,18.731,1.783,3.311,8.202,13.306,3.717,4.925,12.517,7.035,1.495,2.927,8.315,10.858,3.532,4.65,13.213,32.857,1.877,3.722,8.597,11.964,3.833,4.787,12.516
D:\CD20_CD163_MYC_STING_BCL2_BCL6\20200404 SGH MDA TW TMA& Control\TW TMA1\HPF\Raw,"ADJ_STING__TW TMA1_HP_IM3_0_Core[1,2,1,1]_[41169.5,6495].im3",ROI,1200,,,,2317,1835,39.993,1.552,26.608,9.362,24.33,6.014,5.482,17.69,13.199,2.087,14.796,10.995,22.396,5.569,4.136,15.927,6.943,1.89,12.187,10.687,12.944,4.871,3.762,12.18,26.161,1.746,20.548,10.029,21.038,5.633,4.772,15.93
D:\CD20_CD163_MYC_STING_BCL2_BCL6\20200404 SGH MDA TW TMA& Control\TW TMA1\HPF\Raw,"ADJ_STING__TW TMA1_HP_IM3_0_Core[1,2,1,1]_[41169.5,6495].im3",ROI,1201,,,,970,1834,14.505,2.413,1.168,17.719,54.737,7.088,9.028,20.065,5.985,2.642,1.936,16.339,25.818,5.583,8.244,14.747,2.681,2.317,2.656,14.394,20.332,4.741,7.443,12.558,9.896,2.436,1.686,16.631,40.481,6.211,8.483,17.157
D:\CD20_CD163_MYC_STING_BCL2_BCL6\20200404 SGH MDA TW TMA& Control\TW TMA1\HPF\Raw,"ADJ_STING__TW TMA1_HP_IM3_0_Core[1,2,1,1]_[41169.5,6495].im3",ROI,1202,,,,2287,1834,37.28,2.088,9.253,12.757,31.83,6.257,2.759,12.856,10.261,1.38,8.45,14.212,20.06,5.532,2.174,11.136,4.752,1.296,8.214,13.776,13.794,5.217,1.806,10.267,23.395,1.74,8.822,13.32,24.808,5.843,2.396,11.842
D:\CD20_CD163_MYC_STING_BCL2_BCL6\20200404 SGH MDA TW TMA& Control\TW TMA1\HPF\Raw,"ADJ_STING__TW TMA1_HP_IM3_0_Core[1,2,1,1]_[41169.5,6495].im3",ROI,1203,,,,1630,1836,43.624,2.766,4.806,16.481,40.498,5.884,3.088,16.602,13.989,2.242,11.954,18.106,24.012,5.185,2.709,15.819,3.958,2.28,11.676,16.248,19.967,4.918,2.661,14.343,26.298,2.513,8.311,16.829,31.244,5.468,2.886,15.841
D:\CD20_CD163_MYC_STING_BCL2_BCL6\20200404 SGH MDA TW TMA& Control\TW TMA1\HPF\Raw,"ADJ_STING__TW TMA1_HP_IM3_0_Core[1,2,1,1]_[41169.5,6495].im3",ROI,1204,,,,1682,1836,18.438,2.9,2.214,20.452,10.812,9.008,5.424,18.523,6.673,2.878,0.56,12.891,11.748,10.411,3.831,15.005,3.31,2.631,0.369,11.236,10.091,9.344,3.347,13.736,13.002,2.838,1.51,17.066,10.834,9.343,4.682,16.841
D:\CD20_CD163_MYC_STING_BCL2_BCL6\20200404 SGH MDA TW TMA& Control\TW TMA1\HPF\Raw,"ADJ_STING__TW TMA1_HP_IM3_0_Core[1,2,1,1]_[41169.5,6495].im3",ROI,1206,,,,1616,1838,21.892,0.794,20.101,11.256,41.837,3.851,4.548,25.277,4.261,0.218,31.16,18.352,9.944,3.766,4.39,18.141,1.101,0.529,36.623,15.147,6.741,3.521,2.522,11.862,12.245,0.588,27.068,13.96,25.047,3.744,3.978,20.057
D:\CD20_CD163_MYC_STING_BCL2_BCL6\20200404 SGH MDA TW TMA& Control\TW TMA1\HPF\Raw,"ADJ_STING__TW TMA1_HP_IM3_0_Core[1,2,1,1]_[41169.5,6495].im3",ROI,1207,,,,1805,1839,36.159,2.673,3.276,17.251,36.375,4.937,4.736,17.323,12.157,2.753,4.874,20.658,18.774,4.602,4.248,14.869,5.098,2.354,4.967,19.425,12.905,4.292,3.653,13.181,23.827,2.612,4.006,18.464,27.165,4.714,4.377,15.829
D:\CD20_CD163_MYC_STING_BCL2_BCL6\20200404 SGH MDA TW TMA& Control\TW TMA1\HPF\Raw,"ADJ_STING__TW TMA1_HP_IM3_0_Core[1,2,1,1]_[41169.5,6495].im3",ROI,1208,,,,888,1839,19.489,1.356,0.062,18.485,73.327,18.349,8.63,26.514,6.707,1.511,0.317,11.623,25.3,9.772,6.137,15.455,1.737,1.287,0.648,9.823,15.499,7.35,4.84,12.921,12.774,1.371,0.25,15.083,50.174,14.056,7.244,21.117
D:\CD20_CD163_MYC_STING_BCL2_BCL6\20200404 SGH MDA TW TMA& Control\TW TMA1\HPF\Raw,"ADJ_STING__TW TMA1_HP_IM3_0_Core[1,2,1,1]_[41169.5,6495].im3",ROI,1209,,,,1108,1841,11.468,3.418,0.175,9.576,61.277,12.492,2.277,22.735,2.672,2.907,0.179,9.755,32.481,13.341,1.709,16.866,0.895,2.827,0.335,9.345,29.645,12.827,1.695,15.677,7.359,3.185,0.211,9.56,48.488,12.736,2.034,19.993
D:\CD20_CD163_MYC_STING_BCL2_BCL6\20200404 SGH MDA TW TMA& Control\TW TMA1\HPF\Raw,"ADJ_STING__TW TMA1_HP_IM3_0_Core[1,2,1,1]_[41169.5,6495].im3",ROI,1210,,,,836,1842,28.637,3.546,2.575,20.277,51.916,8.938,13.933,23.377,7.462,2.925,3.239,18.755,25.297,7.329,10.368,15.911,2.972,2.543,2.696,15.503,19.292,6.033,8.06,12.036,19.572,3.228,2.717,19.015,40.445,8.05,12.083,19.703
D:\CD20_CD163_MYC_STING_BCL2_BCL6\20200404 SGH MDA TW TMA& Control\TW TMA1\HPF\Raw,"ADJ_STING__TW TMA1_HP_IM3_0_Core[1,2,1,1]_[41169.5,6495].im3",ROI,1211,,,,1212,1841,30.501,2.024,3.835,10.418,32.205,5.864,5.559,15.745,11.201,2.078,3.69,11.922,24.963,5.764,5.638,17.125,4.057,2.272,4.453,11.46,23.65,5.736,5.119,14.789,20.176,2.095,3.953,10.979,28.658,5.812,5.47,15.803
D:\CD20_CD163_MYC_STING_BCL2_BCL6\20200404 SGH MDA TW TMA& Control\TW TMA1\HPF\Raw,"ADJ_STING__TW TMA1_HP_IM3_0_Core[1,2,1,1]_[41169.5,6495].im3",ROI,1212,,,,2468,1841,18.728,1.198,1.028,30.968,83.358,9.398,1.372,27.799,2.404,1.789,2.2,23.801,28.765,7.253,2.719,18.85,0.281,2.051,2.979,20.774,14.389,6.186,3.212,12.27,11.621,1.495,1.674,27.394,58.015,8.293,2.027,22.73
D:\CD20_CD163_MYC_STING_BCL2_BCL6\20200404 SGH MDA TW TMA& Control\TW TMA1\HPF\Raw,"ADJ_STING__TW TMA1_HP_IM3_0_Core[1,2,1,1]_[41169.5,6495].im3",ROI,1213,,,,2362,1844,18.512,0.455,36.89,29.761,58.425,8.673,2.574,31.681,4.842,0.75,23.5,18.698,28.231,5.15,2.342,17.871,3.091,0.802,28.681,19.909,19.728,6.067,2.525,17.422,12.85,0.584,33.012,25.86,44.649,7.572,2.529,26.274
D:\CD20_CD163_MYC_STING_BCL2_BCL6\20200404 SGH MDA TW TMA& Control\TW TMA1\HPF\Raw,"ADJ_STING__TW TMA1_HP_IM3_0_Core[1,2,1,1]_[41169.5,6495].im3",ROI,1214,,,,1199,1848,27.688,1.598,1.725,32.916,7.396,7.29,2.306,14.617,5.846,1.22,1.495,29.815,11.831,6.875,2.382,16.362,1.867,1.299,1.152,27.583,12.768,6.315,2.596,13.695,17.361,1.453,1.548,31.073,9.522,6.984,2.387,14.766
D:\CD20_CD163_MYC_STING_BCL2_BCL6\20200404 SGH MDA TW TMA& Control\TW TMA1\HPF\Raw,"ADJ_STING__TW TMA1_HP_IM3_0_Core[1,2,1,1]_[41169.5,6495].im3",ROI,1215,,,,1926,1845,34.335,1.777,2.721,7.741,12.746,6.814,3.224,10.309,11.521,1.738,2.304,8.136,11.728,4.607,2.667,8.725,7.539,1.777,2.299,9.177,12.262,4.051,2.582,8.501,22.601,1.769,2.524,8.192,12.404,5.635,2.941,9.508
D:\CD20_CD163_MYC_STING_BCL2_BCL6\20200404 SGH MDA TW TMA& Control\TW TMA1\HPF\Raw,"ADJ_STING__TW TMA1_HP_IM3_0_Core[1,2,1,1]_[41169.5,6495].im3",ROI,1216,,,,878,1856,20.196,1.5,0.529,73.419,34.085,12.753,2.637,25.028,2.001,1.6,0.779,65.065,26.536,11.764,1.907,19.09,1.414,1.551,0.827,51.296,23.24,9.631,2.186,15.474,11.483,1.534,0.659,65.945,29.684,11.739,2.365,21.303
D:\CD20_CD163_MYC_STING_BCL2_BCL6\20200404 SGH MDA TW TMA& Control\TW TMA1\HPF\Raw,"ADJ_STING__TW TMA1_HP_IM3_0_Core[1,2,1,1]_[41169.5,6495].im3",ROI,1217,,,,1403,1845,46.217,2.288,4.393,8.435,19.15,5.236,3.769,13.943,16.13,1.696,4.578,9.337,18.031,4.708,3.392,15.435,5.009,1.712,3.914,9.141,15.271,4.226,3.195,13.485,31.051,2.042,4.323,8.771,18.063,4.906,3.566,14.138
D:\CD20_CD163_MYC_STING_BCL2_BCL6\20200404 SGH MDA TW TMA& Control\TW TMA1\HPF\Raw,"ADJ_STING__TW TMA1_HP_IM3_0_Core[1,2,1,1]_[41169.5,6495].im3",ROI,1218,,,,2166,1846,32.683,3.448,3.932,23.526,31.693,6.038,6.907,16.044,11.063,2.663,2.937,19.762,20.04,5.505,6.299,13.205,5.389,2.241,3.1,15.885,14.415,4.615,5.515,11.714,21.81,3.003,3.531,20.954,25.229,5.593,6.455,14.44
D:\CD20_CD163_MYC_STING_BCL2_BCL6\20200404 SGH MDA TW TMA& Control\TW TMA1\HPF\Raw,"ADJ_STING__TW TMA1_HP_IM3_0_Core[1,2,1,1]_[41169.5,6495].im3",ROI,1219,,,,1422,1847,46.24,1.661,3.951,9.514,26.049,4.821,4.939,17.03,13.856,1.91,3.272,10.411,18.72,4.353,4.702,16.119,4.55,2,3.031,10.267,14.032,4.239,4.252,13.36,29.862,1.791,3.596,9.873,21.729,4.589,4.728,15.976
D:\CD20_CD163_MYC_STING_BCL2_BCL6\20200404 SGH MDA TW TMA& Control\TW TMA1\HPF\Raw,"ADJ_STING__TW TMA1_HP_IM3_0_Core[1,2,1,1]_[41169.5,6495].im3",ROI,1220,,,,1645,1848,10.509,0.226,0.008,132.413,50.497,18.95,0.004,43.057,2.528,0.72,12.879,107.092,23.988,13.224,0.489,31.79,1.119,0.89,16.164,83.286,15.807,11.135,1.412,23.296,5.73,0.541,7.95,112.773,33.813,15.272,0.488,34.804
D:\CD20_CD163_MYC_STING_BCL2_BCL6\20200404 SGH MDA TW TMA& Control\TW TMA1\HPF\Raw,"ADJ_STING__TW TMA1_HP_IM3_0_Core[1,2,1,1]_[41169.5,6495].im3",ROI,1221,,,,2027,1850,23.532,1.727,1.84,25.304,28.775,6.627,4.991,15.668,8.345,1.551,1.502,24.602,14.789,6.05,4.435,13.062,4.239,1.445,1.198,24.435,12.94,5.541,4.162,11.971,16.373,1.632,1.637,24.978,22.583,6.282,4.704,14.36
D:\CD20_CD163_MYC_STING_BCL2_BCL6\20200404 SGH MDA TW TMA& Control\TW TMA1\HPF\Raw,"ADJ_STING__TW TMA1_HP_IM3_0_Core[1,2,1,1]_[41169.5,6495].im3",ROI,1222,,,,1694,1849,12.182,1.681,0.019,16.878,78.103,13.703,3.495,28.819,1.758,2.407,0.046,8.452,17.011,11.804,3.406,15.546,0.275,2.283,0.33,7.489,10.604,11.843,2.573,12.543,7.089,1.98,0.101,12.819,48.811,12.85,3.252,22.063
