Path,Sample Name,Tissue Category,Cell ID,Total Cells,Tissue Category Area (pixels),Cell Density (per megapixel),Cell X Position,Cell Y Position,"Nucleus DAPI Mean (Normalized Counts, Total Weighting)","Nucleus MYC (Opal 520) Mean (Normalized Counts, Total Weighting)","Nucleus CD20 (Opal 540) Mean (Normalized Counts, Total Weighting)","Nucleus CD163 (Opal 570) Mean (Normalized Counts, Total Weighting)","Nucleus BCL6 (Opal 620) Mean (Normalized Counts, Total Weighting)","Nucleus STING (Opal 650) Mean (Normalized Counts, Total Weighting)","Nucleus BCL2 (Opal 690) Mean (Normalized Counts, Total Weighting)","Nucleus Autofluorescence Mean (Normalized Counts, Total Weighting)","Cytoplasm DAPI Mean (Normalized Counts, Total Weighting)","Cytoplasm MYC (Opal 520) Mean (Normalized Counts, Total Weighting)","Cytoplasm CD20 (Opal 540) Mean (Normalized Counts, Total Weighting)","Cytoplasm CD163 (Opal 570) Mean (Normalized Counts, Total Weighting)","Cytoplasm BCL6 (Opal 620) Mean (Normalized Counts, Total Weighting)","Cytoplasm STING (Opal 650) Mean (Normalized Counts, Total Weighting)","Cytoplasm BCL2 (Opal 690) Mean (Normalized Counts, Total Weighting)","Cytoplasm Autofluorescence Mean (Normalized Counts, Total Weighting)","Membrane DAPI Mean (Normalized Counts, Total Weighting)","Membrane MYC (Opal 520) Mean (Normalized Counts, Total Weighting)","Membrane CD20 (Opal 540) Mean (Normalized Counts, Total Weighting)","Membrane CD163 (Opal 570) Mean (Normalized Counts, Total Weighting)","Membrane BCL6 (Opal 620) Mean (Normalized Counts, Total Weighting)","Membrane STING (Opal 650) Mean (Normalized Counts, Total Weighting)","Membrane BCL2 (Opal 690) Mean (Normalized Counts, Total Weighting)","Membrane Autofluorescence Mean (Normalized Counts, Total Weighting)","Entire Cell DAPI Mean (Normalized Counts, Total Weighting)","Entire Cell MYC (Opal 520) Mean (Normalized Counts, Total Weighting)","Entire Cell CD20 (Opal 540) Mean (Normalized Counts, Total Weighting)","Entire Cell CD163 (Opal 570) Mean (Normalized Counts, Total Weighting)","Entire Cell BCL6 (Opal 620) Mean (Normalized Counts, Total Weighting)","Entire Cell STING (Opal 650) Mean (Normalized Counts, Total Weighting)","Entire Cell BCL2 (Opal 690) Mean (Normalized Counts, Total Weighting)","Entire Cell Autofluorescence Mean (Normalized Counts, Total Weighting)"
D:\CD20_CD163_MYC_STING_BCL2_BCL6\20200404 SGH MDA TW TMA& Control\TW TMA1\HPF\Raw,"ADJ_STING__TW TMA1_HP_IM3_0_Core[1,2,1,1]_[41169.5,6495].im3",ROI,1008,,,,1088,1673,8.327,2.49,3.402,19.337,68.962,9.472,5.213,25.769,3.116,2.528,5.9,15.987,29.623,7.301,6.061,18.991,1.243,2.754,5.327,15.507,20.352,6.244,5.192,14.63,5.85,2.552,4.281,17.896,51.286,8.382,5.37,22.145
D:\CD20_CD163_MYC_STING_BCL2_BCL6\20200404 SGH MDA TW TMA& Control\TW TMA1\HPF\Raw,"ADJ_STING__TW TMA1_HP_IM3_0_Core[1,2,1,1]_[41169.5,6495].im3",ROI,1009,,,,721,1675,34.288,3.848,4.582,16.824,50.322,13.278,10.09,18.856,9.959,3.835,5.06,18.272,42.769,10.8,8.593,18.013,2.108,4.008,4.563,18.923,35.993,9.417,7.372,15.047,22.39,3.881,4.671,17.573,45.661,11.936,9.193,17.844
D:\CD20_CD163_MYC_STING_BCL2_BCL6\20200404 SGH MDA TW TMA& Control\TW TMA1\HPF\Raw,"ADJ_STING__TW TMA1_HP_IM3_0_Core[1,2,1,1]_[41169.5,6495].im3",ROI,1010,,,,1074,1674,29.404,3.733,1.952,17.119,83.424,8.65,3.905,30.693,6.321,3.737,1.639,14.99,37.785,7.198,3.915,22.611,1.784,3.724,2.617,14.443,23.316,6.373,4.226,15.061,18.769,3.731,2.054,16.108,61.096,7.853,3.983,25.558
D:\CD20_CD163_MYC_STING_BCL2_BCL6\20200404 SGH MDA TW TMA& Control\TW TMA1\HPF\Raw,"ADJ_STING__TW TMA1_HP_IM3_0_Core[1,2,1,1]_[41169.5,6495].im3",ROI,1011,,,,1237,1675,37.787,1.909,29.118,9.562,42.573,4.357,6.723,27.977,12.976,0.689,30.078,14.947,27.077,4.461,6.445,33.369,3.965,1.109,34.871,20.196,14.487,4.71,5.014,19.294,24.076,1.464,30.702,13.391,32.232,4.471,6.221,26.795
D:\CD20_CD163_MYC_STING_BCL2_BCL6\20200404 SGH MDA TW TMA& Control\TW TMA1\HPF\Raw,"ADJ_STING__TW TMA1_HP_IM3_0_Core[1,2,1,1]_[41169.5,6495].im3",ROI,1013,,,,1013,1681,12.816,3.004,1.757,17.775,58.699,6.527,5.273,20.786,3.614,2.557,2.934,19.913,24.807,4.525,4.987,15.493,1.274,2.492,2.634,18.347,18.879,3.967,4.485,12.37,8.177,2.79,2.208,18.352,42.252,5.506,5.027,17.695
D:\CD20_CD163_MYC_STING_BCL2_BCL6\20200404 SGH MDA TW TMA& Control\TW TMA1\HPF\Raw,"ADJ_STING__TW TMA1_HP_IM3_0_Core[1,2,1,1]_[41169.5,6495].im3",ROI,1014,,,,2193,1681,19.373,2.642,8.466,29.283,46.976,10.528,3.035,24.967,8.039,1.883,8.532,33.894,40.825,12.607,2.407,28.064,4.178,1.377,9.001,40.173,40.413,14.065,2.058,28.847,14.079,2.233,8.596,32.478,44.476,11.665,2.712,26.353
D:\CD20_CD163_MYC_STING_BCL2_BCL6\20200404 SGH MDA TW TMA& Control\TW TMA1\HPF\Raw,"ADJ_STING__TW TMA1_HP_IM3_0_Core[1,2,1,1]_[41169.5,6495].im3",ROI,1015,,,,1161,1682,29.079,1.326,2.353,14.596,19.897,8.14,2.494,15.102,13.538,1.787,1.662,16.05,14.716,6.119,1.876,12.475,4.967,1.737,2.071,15.351,15.295,5.708,1.861,13.562,20.615,1.503,2.169,15.022,17.912,7.211,2.237,14.289
D:\CD20_CD163_MYC_STING_BCL2_BCL6\20200404 SGH MDA TW TMA& Control\TW TMA1\HPF\Raw,"ADJ_STING__TW TMA1_HP_IM3_0_Core[1,2,1,1]_[41169.5,6495].im3",ROI,1016,,,,1862,1685,23.535,1.802,9.718,27.431,59.213,9.763,4.187,27.085,9.937,1.943,8.914,28.531,31.293,9.004,4.09,22.599,8.793,1.92,17.723,23.344,19.698,7.915,3.577,18.226,17.606,1.852,11.399,26.706,45.008,9.194,4.027,24.258
D:\CD20_CD163_MYC_STING_BCL2_BCL6\20200404 SGH MDA TW TMA& Control\TW TMA1\HPF\Raw,"ADJ_STING__TW TMA1_HP_IM3_0_Core[1,2,1,1]_[41169.5,6495].im3",ROI,1017,,,,1343,1682,27.254,2.715,3.149,13.773,37.967,4.879,2.991,17.617,10.735,1.915,3.854,13.513,25.451,5.038,3.22,20.578,4.385,1.864,4.458,13.475,18.824,4.787,3.127,16.522,18.445,2.349,3.603,13.649,30.864,4.89,3.07,17.968
D:\CD20_CD163_MYC_STING_BCL2_BCL6\20200404 SGH MDA TW TMA& Control\TW TMA1\HPF\Raw,"ADJ_STING__TW TMA1_HP_IM3_0_Core[1,2,1,1]_[41169.5,6495].im3",ROI,1019,,,,958,1686,19.903,2.792,1.032,13.595,63.293,7.462,6.322,20.499,8.149,2.675,2.793,15.97,28.276,5.464,6.942,15.17,2.688,2.56,2.925,14.356,19.017,4.601,6.605,12.36,14.118,2.721,1.748,14.168,47.595,6.493,6.49,17.802
